Num_vuelo,tipo,dia,hora,origen,destino,region
AEA4125,73H,13/11/2017,15:30,TFN,ALC,ALC
IBK5251,73H,12/11/2017,18:50,TFN,ALC,ALC
IBK5251,73H,14/11/2017,19:50,TFN,ALC,ALC
IBE3612,320,11/11/2017,9:20,TFN,OVD,OVD
IBE3612,320,14/11/2017,10:30,TFN,OVD,OVD
IBE8682,CRK,14/11/2017,14:35,TFN,BJZ,BJZ
VLG3215,321,13/11/2017,7:00,TFN,BCN,BCN
VLG3215,321,10/11/2017,7:00,TFN,BCN,BCN
VLG3215,321,14/11/2017,7:00,TFN,BCN,BCN
VLG3215,321,12/11/2017,7:00,TFN,BCN,BCN
VLG3215,321,15/11/2017,7:00,TFN,BCN,BCN
VLG3215,321,11/11/2017,7:00,TFN,BCN,BCN
RYR3064,73H,11/11/2017,9:30,TFN,BCN,BCN
RYR3064,73H,12/11/2017,9:30,TFN,BCN,BCN
RYR3064,73H,15/11/2017,9:30,TFN,BCN,BCN
RYR3064,73H,13/11/2017,9:30,TFN,BCN,BCN
RYR3064,73H,14/11/2017,9:30,TFN,BCN,BCN
RYR3064,73H,10/11/2017,10:50,TFN,BCN,BCN
IBK5757,73H,13/11/2017,11:10,TFN,BCN,BCN
IBK5757,73H,10/11/2017,11:10,TFN,BCN,BCN
IBK5757,73H,11/11/2017,11:10,TFN,BCN,BCN
IBK5757,73H,14/11/2017,11:10,TFN,BCN,BCN
IBK5757,73H,15/11/2017,11:10,TFN,BCN,BCN
IBK5757,73H,12/11/2017,11:30,TFN,BCN,BCN
VLG3217,321,10/11/2017,15:20,TFN,BCN,BCN
VLG3217,321,11/11/2017,15:20,TFN,BCN,BCN
VLG3217,321,12/11/2017,15:20,TFN,BCN,BCN
VLG3217,321,13/11/2017,15:20,TFN,BCN,BCN
VLG3217,321,14/11/2017,15:20,TFN,BCN,BCN
VLG3217,321,15/11/2017,15:20,TFN,BCN,BCN
VLG3213,320,10/11/2017,19:55,TFN,BCN,BCN
VLG3213,320,12/11/2017,19:55,TFN,BCN,BCN
AEA7007,73H,12/11/2017,7:35,TFN,BIO,BIO
AEA7007,73H,13/11/2017,7:35,TFN,BIO,BIO
AEA7007,73H,15/11/2017,7:35,TFN,BIO,BIO
VLG3261,320,10/11/2017,9:50,TFN,BIO,BIO
VLG3261,320,11/11/2017,9:50,TFN,BIO,BIO
VLG3261,320,12/11/2017,9:50,TFN,BIO,BIO
VLG3261,320,13/11/2017,9:50,TFN,BIO,BIO
RAM994,AT7,12/11/2017,16:40,TFN,CMN,MARRUECOS
RAM978,AT7,11/11/2017,17:00,TFN,CMN,MARRUECOS
IBB6650,CRK,15/11/2017,11:35,TFN,DKR,SENEGAL
IBB655,AT7,10/11/2017,7:55,TFN,VDE,CANARIAS
IBB655,AT7,11/11/2017,7:55,TFN,VDE,CANARIAS
IBB655,AT7,12/11/2017,7:55,TFN,VDE,CANARIAS
IBB655,AT7,13/11/2017,7:55,TFN,VDE,CANARIAS
IBB655,AT7,14/11/2017,7:55,TFN,VDE,CANARIAS
IBB655,AT7,15/11/2017,8:00,TFN,VDE,CANARIAS
IBB6591,AT7,12/11/2017,9:55,TFN,VDE,CANARIAS
IBB659,AT7,10/11/2017,10:10,TFN,VDE,CANARIAS
IBB659,AT7,11/11/2017,10:10,TFN,VDE,CANARIAS
IBB659,AT7,13/11/2017,10:30,TFN,VDE,CANARIAS
IBB659,AT7,14/11/2017,10:30,TFN,VDE,CANARIAS
IBB659,AT7,15/11/2017,11:30,TFN,VDE,CANARIAS
IBB663,AT7,13/11/2017,14:00,TFN,VDE,CANARIAS
IBB663,AT7,14/11/2017,14:00,TFN,VDE,CANARIAS
IBB663,AT7,15/11/2017,14:00,TFN,VDE,CANARIAS
IBB663,AT7,10/11/2017,14:10,TFN,VDE,CANARIAS
IBB663,AT7,12/11/2017,15:10,TFN,VDE,CANARIAS
CNF247,AT7,10/11/2017,16:10,TFN,VDE,CANARIAS
CNF247,AT7,11/11/2017,16:10,TFN,VDE,CANARIAS
CNF247,AT7,12/11/2017,16:10,TFN,VDE,CANARIAS
CNF247,AT7,13/11/2017,16:10,TFN,VDE,CANARIAS
CNF247,AT7,14/11/2017,16:10,TFN,VDE,CANARIAS
CNF247,AT7,15/11/2017,16:10,TFN,VDE,CANARIAS
IBB673,AT7,10/11/2017,16:30,TFN,VDE,CANARIAS
IBB673,AT7,12/11/2017,16:30,TFN,VDE,CANARIAS
IBB673,AT7,11/11/2017,16:50,TFN,VDE,CANARIAS
IBB673,AT7,13/11/2017,16:55,TFN,VDE,CANARIAS
IBB673,AT7,14/11/2017,16:55,TFN,VDE,CANARIAS
IBB673,AT7,15/11/2017,16:55,TFN,VDE,CANARIAS
IBB414,AT7,12/11/2017,7:00,TFN,FUE,CANARIAS
IBB414,AT7,11/11/2017,7:05,TFN,FUE,CANARIAS
IBB414,AT7,10/11/2017,7:10,TFN,FUE,CANARIAS
IBB414,AT7,13/11/2017,7:10,TFN,FUE,CANARIAS
IBB414,AT7,14/11/2017,7:10,TFN,FUE,CANARIAS
IBB414,AT7,15/11/2017,7:10,TFN,FUE,CANARIAS
CNF334,AT7,10/11/2017,11:40,TFN,FUE,CANARIAS
CNF334,AT7,11/11/2017,11:40,TFN,FUE,CANARIAS
CNF334,AT7,12/11/2017,11:40,TFN,FUE,CANARIAS
CNF334,AT7,13/11/2017,11:40,TFN,FUE,CANARIAS
CNF334,AT7,14/11/2017,11:40,TFN,FUE,CANARIAS
CNF334,AT7,15/11/2017,11:40,TFN,FUE,CANARIAS
IBB416,AT7,10/11/2017,11:50,TFN,FUE,CANARIAS
IBB416,AT7,12/11/2017,13:25,TFN,FUE,CANARIAS
